provinsi,Region,tahun,neet_rate,PPM,TPT,GR,APS1,APS2,TIK,PDRB,KP,PL,LAJU
DI. ACEH,Sumatera,2016,23.35,16.43,7.57,0.341,81.82,37.06,39.85,26852,88,99.8,2.01
DI. ACEH,Sumatera,2017,22.41,15.92,6.57,0.329,82.15,37.24,51.78,28097,90,99.8,1.98
DI. ACEH,Sumatera,2018,22.77,15.68,6.34,0.318,82.92,37.61,62.96,29521,91,99.8,1.96
DI. ACEH,Sumatera,2019,23.61,15.01,6.17,0.321,83.26,34.84,69.01,30879,93,99.9,1.93
DI. ACEH,Sumatera,2020,23.6,15.43,6.59,0.319,83.27,34.89,76.68,31633,91,100.8,1.56
DI. ACEH,Sumatera,2021,24.38,15.53,6.3,0.323,83.28,34.95,83.84,34674,92,100.8,1.49
DI. ACEH,Sumatera,2022,28.99,14.75,6.17,0.291,83.1,34.31,85.72,38767,95,100.9,1.43
DI. ACEH,Sumatera,2023,29.02,14.45,6.03,0.296,83.41,35.24,89.86,41408,96,100.9,1.41
DI. ACEH,Sumatera,2024,28.56,12.64,5.75,0.294,81.55,34.81,92.43,43782,98,100.9,1.39
Sumatera Utara,Sumatera,2016,21.87,10.27,5.84,0.312,76.43,30.2,51.11,44392,193,99.6,1.33
Sumatera Utara,Sumatera,2017,18.88,9.28,5.6,0.335,76.76,29.25,63.9,48004,195,99.6,1.3
Sumatera Utara,Sumatera,2018,18.46,8.94,5.55,0.311,77.41,29.97,71.24,51427,198,99.6,1.27
Sumatera Utara,Sumatera,2019,18.71,8.63,5.39,0.315,77.67,27.64,77.28,54620,200,99.6,1.24
Sumatera Utara,Sumatera,2020,22.87,9.14,6.91,0.314,78.21,29.21,82.51,54979,203,100.6,1.28
Sumatera Utara,Sumatera,2021,20.29,8.49,6.33,0.313,78.66,29.34,89.79,57442,205,100.7,1.23
Sumatera Utara,Sumatera,2022,20.71,8.33,6.16,0.326,78.66,29.06,92.83,62922,209,100.7,1.21
Sumatera Utara,Sumatera,2023,20.08,8.15,5.89,0.309,79.25,31.08,93.97,68306,212,100.7,1.43
Sumatera Utara,Sumatera,2024,19.78,7.19,5.6,0.306,78.59,30.22,94.42,73575,215,100.8,1.4
Sumatera Barat,Sumatera,2016,19.7,7.14,5.09,0.312,82.62,38.73,59.36,37285,125,99.1,1.31
Sumatera Barat,Sumatera,2017,18.27,6.75,5.58,0.312,82.86,38.97,67.78,40194,127,99.2,1.29
Sumatera Barat,Sumatera,2018,20.5,6.55,5.66,0.305,83.08,38.23,76.27,42803,128,99.3,1.27
Sumatera Barat,Sumatera,2019,19.93,6.29,5.38,0.307,83.63,38.79,80.64,44886,130,99.4,1.25
